date,chamber,timepoint,plant,T0,T3,Avg,Radius (cm),Height (cm),Ht (cm),Ht Adj (Cm),Vol (cm3),Vol (L),Area (cm2),Area (m2),time_min,ch4_ppm,c2o_ppm,n2o_ppm,ppm_min,ppm_min,ppm_min,uL,ug.ch4c.m2,mg.CH4-N.m-2 ,g.CH4-N.m-2,ug.co2c.m2,mg.CO2-N.m-2,g.CO2-N.m-2,ug.n2on.m2,mg.N2O-N.m-2,g.N2O-N.m-2,,,,
6/13/2016,,T2,N,21.3,29,25.15,4.1275,0,18.5,18.5,990,0.990,54,0.005,60,,463.569,0.361,,,,,,,,,,,,,,,,,
6/13/2016,,T3,N,21.3,29,25.15,4.1275,0,18.5,18.5,990,0.990,54,0.005,120,2.092,639.180,,,,,,,,,,,,,,,,,,
6/13/2016,,T4,N,21.3,29,25.15,4.1275,0,18.5,18.5,990,0.990,54,0.005,180,1.794,,0.443,,,,,,,,,,,,,,,,,
6/13/2016,3P,T1,P,25.1,32.5,28.8,4.1275,0,19.0,19.0,1017,1.017,54,0.005,30,1.588,224.143,0.279,0.004,3.516,0.000430875,29.48105437,122.8188985,0.122818899,0.01228189,17334.73209,17.33473209,1.733473209,50.29,0.0503,0.01,,,,
6/13/2016,,T2,P,25.1,32.5,28.8,4.1275,0,19.0,19.0,1017,1.017,54,0.005,60,1.839,358.410,0.305,,,,,,,,,,,,,,,,,
6/13/2016,,T3,P,25.1,32.5,28.8,4.1275,0,19.0,19.0,1017,1.017,54,0.005,120,2.128,546.350,,,,,,,,,,,,,,,,,,
6/13/2016,,T4,P,25.1,32.5,28.8,4.1275,0,19.0,19.0,1017,1.017,54,0.005,180,2.167,,0.348,,,,,,,,,,,,,,,,,
6/13/2016,4N,T1,N,21.1,29,25.05,4.1275,0,19.5,19.5,1044,1.044,54,0.005,30,2.349,409.453,0.337,0.005,0.275,0.000168233,24.14110379,227.7050396,0.22770504,0.022770504,39688.33272,39.68833272,3.968833272,76.18,0.0762,0.01,,,,
6/13/2016,,T2,N,21.1,29,25.05,4.1275,0,19.5,19.5,1044,1.044,54,0.005,60,2.670,,0.349,,,,,,,,,,,,,,,,,
6/13/2016,,T3,N,21.1,29,25.05,4.1275,0,19.5,19.5,1044,1.044,54,0.005,120,2.826,447.539,0.355,,,,,,,,,,,,,,,,,
6/13/2016,,T4,N,21.1,29,25.05,4.1275,0,19.5,19.5,1044,1.044,54,0.005,180,3.129,448.838,0.364,,,,,,,,,,,,,,,,,
6/13/2016,4P,T1,P,22,29,25.5,4.1275,0,18.5,18.5,990,0.990,54,0.005,30,6.459,344.537,0.351,0.073,1.213,0.000530059,29.17462932,491.4577049,0.491457705,0.04914577,26217.06628,26.21706628,2.621706628,62.26,0.0623,0.01,,,,
6/13/2016,,T2,P,21.6,30.8,26.2,4.1275,0,18.5,18.5,990,0.990,54,0.005,60,10.494,,0.370,,,,,,,,,,,,,,,,,
6/13/2016,,T3,P,23.5,31,27.25,4.1275,0,18.5,18.5,990,0.990,54,0.005,120,14.036,446.805,0.391,,,,,,,,,,,,,,,,,
6/13/2016,,T4,P,21.1,28,24.55,4.1275,0,18.5,18.5,990,0.990,54,0.005,180,18.026,527.523,0.433,,,,,,,,,,,,,,,,,
6/13/2016,5N,T1,N,21.6,30.8,26.2,4.1275,0,18.0,18.0,963,0.963,54,0.005,30,6.725,538.549,0.376,-0.026,-0.364,-0.000654676,24.18212521,600.6652921,0.600665292,0.060066529,48104.34328,48.10434328,4.810434328,78.32,0.0783,0.01,,,,
6/13/2016,,T2,N,21.6,30.8,26.2,4.1275,0,18.0,18.0,963,0.963,54,0.005,60,3.407,543.003,0.357,,,,,,,,,,,,,,,,,
6/13/2016,,T3,N,21.6,30.8,26.2,4.1275,0,18.0,18.0,963,0.963,54,0.005,120,2.839,534.977,,,,,,,,,,,,,,,,,,
6/13/2016,,T4,N,21.6,30.8,26.2,4.1275,0,18.0,18.0,963,0.963,54,0.005,180,2.029,483.055,0.278,,,,,,,,,,,,,,,,,
6/13/2016,5P,T1,P,23.5,31,27.25,4.1275,0,19.0,19.0,1017,1.017,54,0.005,30,2.773,292.718,0.322,0.016,0.418,2.93539E-05,29.32289951,215.5838063,0.215583806,0.021558381,22760.28308,22.76028308,2.276028308,58.37,0.0584,0.01,,,,
6/13/2016,,T2,P,23.5,31,27.25,4.1275,0,19.0,19.0,1017,1.017,54,0.005,60,3.642,,0.320,,,,,,,,,,,,,,,,,
6/13/2016,,T3,P,23.5,31,27.25,4.1275,0,19.0,19.0,1017,1.017,54,0.005,120,4.315,341.219,0.328,,,,,,,,,,,,,,,,,
6/13/2016,,T4,P,23.5,31,27.25,4.1275,0,19.0,19.0,1017,1.017,54,0.005,180,,353.796,0.324,,,,,,,,,,,,,,,,,
6/13/2016,6N,T1,N,21.1,28,24.55,4.1275,0,19.0,19.0,1017,1.017,54,0.005,30,105.051,599.040,0.583,-0.036,-0.289,0.00279658,24.14110379,9921.495735,9.921495735,0.992149573,56576.14299,56.57614299,5.657614299,128.48,0.1285,0.01,,,,
6/13/2016,,T2,N,21.1,28,24.55,4.1275,0,19.0,19.0,1017,1.017,54,0.005,60,,601.406,0.710,,,,,,,,,,,,,,,,,
6/13/2016,,T3,N,21.1,28,24.55,4.1275,0,19.0,19.0,1017,1.017,54,0.005,120,97.930,,0.843,,,,,,,,,,,,,,,,,
6/13/2016,,T4,N,21.1,28,24.55,4.1275,0,19.0,19.0,1017,1.017,54,0.005,180,100.243,559.299,,,,,,,,,,,,,,,,,,
6/13/2016,6P,T1,P,22.2,29.2,25.7,4.1275,0,18.5,18.5,990,0.990,54,0.005,30,26.267,253.550,0.262,0.389,0.111,0.003839175,29.19439868,1997.416602,1.997416602,0.19974166,19280.42099,19.28042099,1.928042099,46.46,0.0465,0.00,,,,
6/13/2016,,T2,P,22.2,29.2,25.7,4.1275,0,18.5,18.5,990,0.990,54,0.005,60,45.953,,0.598,,,,,,,,,,,,,,,,,
6/13/2016,,T3,P,22.2,29.2,25.7,4.1275,0,18.5,18.5,990,0.990,54,0.005,120,65.105,263.443,0.700,,,,,,,,,,,,,,,,,
6/13/2016,,T4,P,22.2,29.2,25.7,4.1275,0,18.5,18.5,990,0.990,54,0.005,180,87.230,270.143,0.913,,,,,,,,,,,,,,,,,
6/13/2016,7N,T1,N,23,30.2,26.6,4.1275,0,18.5,18.5,990,0.990,54,0.005,30,2.779,679.940,0.474,0.003,0.645,-0.000618857,24.29698517,253.8843669,0.253884367,0.025388437,62125.66862,62.12566862,6.212566862,101.13,0.1011,0.01,,,,
6/13/2016,,T2,N,23,30.2,26.6,4.1275,0,18.5,18.5,990,0.990,54,0.005,60,,,,,,,,,,,,,,,,,,,,
6/13/2016,,T3,N,23,30.2,26.6,4.1275,0,18.5,18.5,990,0.990,54,0.005,120,3.105,759.621,0.380,,,,,,,,,,,,,,,,,
6/13/2016,,T4,N,23,30.2,26.6,4.1275,0,18.5,18.5,990,0.990,54,0.005,180,3.196,773.538,0.387,,,,,,,,,,,,,,,,,
6/13/2016,7P,T1,P,22,30.2,26.1,4.1275,0,17.5,17.5,937,0.937,54,0.005,30,4.084,430.640,0.333,0.014,-0.876,-0.000109085,29.17462932,294.0020958,0.294002096,0.02940021,30997.64723,30.99764723,3.099764723,55.98,0.0560,0.01,,,,
6/13/2016,,T2,P,22,30.2,26.1,4.1275,0,17.5,17.5,937,0.937,54,0.005,60,4.833,,0.328,,,,,,,,,,,,,,,,,
6/13/2016,,T3,P,22,30.2,26.1,4.1275,0,17.5,17.5,937,0.937,54,0.005,120,5.541,359.456,0.323,,,,,,,,,,,,,,,,,
6/13/2016,,T4,P,22,30.2,26.1,4.1275,0,17.5,17.5,937,0.937,54,0.005,180,6.292,298.074,,,,,,,,,,,,,,,,,,
6/13/2016,8N,T1,N,22.2,30.8,26.5,4.1275,0,19.0,19.0,1017,1.017,54,0.005,30,3.397,532.878,0.351,-0.007,1.944,9.64347E-05,24.23135091,319.6682875,0.319668288,0.031966829,50140.0989,50.1400989,5.01400989,77.10,0.0771,0.01,,,,
6/13/2016,,T2,N,22.2,30.8,26.5,4.1275,0,19.0,19.0,1017,1.017,54,0.005,60,2.816,678.124,,,,,,,,,,,,,,,,,,
6/13/2016,,T3,N,22.2,30.8,26.5,4.1275,0,19.0,19.0,1017,1.017,54,0.005,120,2.439,787.494,0.352,,,,,,,,,,,,,,,,,
6/13/2016,,T4,N,22.2,30.8,26.5,4.1275,0,19.0,19.0,1017,1.017,54,0.005,180,2.283,842.319,0.367,,,,,,,,,,,,,,,,,
6/13/2016,8P,T1,P,22.2,31,26.6,4.1275,0,19.5,19.5,1044,1.044,54,0.005,30,2.126,356.020,0.333,0.001,-0.840,-0.000377243,29.19439868,170.4421555,0.170442156,0.017044216,28535.86324,28.53586324,2.853586324,62.29,0.0623,0.01,,,,
6/13/2016,,T2,P,22.2,31,26.6,4.1275,0,19.5,19.5,1044,1.044,54,0.005,60,2.165,,0.326,,,,,,,,,,,,,,,,,
6/13/2016,,T3,P,22.2,31,26.6,4.1275,0,19.5,19.5,1044,1.044,54,0.005,120,2.183,251.138,,,,,,,,,,,,,,,,,,
6/13/2016,,T4,P,22.2,31,26.6,4.1275,0,19.5,19.5,1044,1.044,54,0.005,180,,234.207,0.278,,,,,,,,,,,,,,,,,
6/13/2016,9N,T1,N,22.1,29.8,25.95,4.1275,0,18.5,18.5,990,0.990,54,0.005,30,1466.987,645.361,0.357,-2.637,-0.549,0.000669586,24.22314662,134446.2203,134.4462203,13.44462203,59145.99272,59.14599272,5.914599272,76.29,0.0763,0.01,,,,
6/13/2016,,T2,N,22.1,29.8,25.95,4.1275,0,18.5,18.5,990,0.990,54,0.005,60,,591.328,0.463,,,,,,,,,,,,,,,,,
6/13/2016,,T3,N,22.1,29.8,25.95,4.1275,0,18.5,18.5,990,0.990,54,0.005,120,1663.142,,0.473,,,,,,,,,,,,,,,,,
6/13/2016,,T4,N,22.1,29.8,25.95,4.1275,0,18.5,18.5,990,0.990,54,0.005,180,1009.512,550.491,0.481,,,,,,,,,,,,,,,,,
6/13/2016,9P,T1,P,23.4,30,26.7,4.1275,0,18.5,18.5,990,0.990,54,0.005,30,3.693,307.506,0.784,0.013,0.195,0.000769908,29.31301483,279.6527943,0.279652794,0.027965279,23288.7174,23.2887174,2.32887174,138.46,0.1385,0.01,,,,
6/13/2016,,T2,P,23.4,30,26.7,4.1275,0,18.5,18.5,990,0.990,54,0.005,60,4.520,309.782,,,,,,,,,,,,,,,,,,
6/13/2016,,T3,P,23.4,30,26.7,4.1275,0,18.5,18.5,990,0.990,54,0.005,120,5.178,325.717,0.876,,,,,,,,,,,,,,,,,
6/13/2016,,T4,P,23.4,30,26.7,4.1275,0,18.5,18.5,990,0.990,54,0.005,180,5.802,335.001,0.896,,,,,,,,,,,,,,,,,
6/13/2016,10N,T1,N,22.3,30.5,26.4,4.1275,0,18.0,18.0,963,0.963,54,0.005,30,154.633,1104.300,0.752,0.703,11.734,0.000376081,24.23955519,13779.43539,13.77943539,1.377943539,98404.7684,98.4047684,9.84047684,156.41,0.1564,0.02,,,,
6/13/2016,,T2,N,22.3,30.5,26.4,4.1275,0,18.0,18.0,963,0.963,54,0.005,60,170.523,1961.946,,,,,,,,,,,,,,,,,,
6/13/2016,,T3,N,22.3,30.5,26.4,4.1275,0,18.0,18.0,963,0.963,54,0.005,120,209.778,2261.506,0.793,,,,,,,,,,,,,,,,,
6/13/2016,,T4,N,22.3,30.5,26.4,4.1275,0,18.0,18.0,963,0.963,54,0.005,180,259.855,,0.808,,,,,,,,,,,,,,,,,
6/13/2016,10P,T1,P,22.3,31.5,26.9,4.1275,0,18.0,18.0,963,0.963,54,0.005,30,18.241,327.995,0.927,0.369,0.155,0.006922814,29.20428336,1349.104434,1.349104434,0.134910443,24259.11428,24.25911428,2.425911428,159.92,0.1599,0.02,,,,
6/13/2016,,T2,P,22.3,31.5,26.9,4.1275,0,18.0,18.0,963,0.963,54,0.005,60,35.810,,1.104,,,,,,,,,,,,,,,,,
6/13/2016,,T3,P,22.3,31.5,26.9,4.1275,0,18.0,18.0,963,0.963,54,0.005,120,55.124,338.957,1.417,,,,,,,,,,,,,,,,,
6/13/2016,,T4,P,22.3,31.5,26.9,4.1275,0,18.0,18.0,963,0.963,54,0.005,180,75.530,351.685,1.988,,,,,,,,,,,,,,,,,
6/13/2016,11N,T1,N,21.8,31,26.4,4.1275,0,19.5,19.5,1044,1.044,54,0.005,30,2.480,542.883,0.471035359,-0.001,0.590,7.36019E-05,24.19853377,239.8353105,0.23983531,0.023983531,52496.8702,52.4968702,5.24968702,106.28,0.1063,0.01,,,,
6/13/2016,,T2,N,21.8,31,26.4,4.1275,0,19.5,19.5,1044,1.044,54,0.005,60,,566.833,0.425,,,,,,,,,,,,,,,,,
6/13/2016,,T3,N,21.8,31,26.4,4.1275,0,19.5,19.5,1044,1.044,54,0.005,120,2.409,,0.432,,,,,,,,,,,,,,,,,
6/13/2016,,T4,N,21.8,31,26.4,4.1275,0,19.5,19.5,1044,1.044,54,0.005,180,2.375,633.527,0.473,,,,,,,,,,,,,,,,,
6/13/2016,11P,T1,P,21.5,30,25.75,4.1275,0,19.5,19.5,1044,1.044,54,0.005,30,1.859,175.057,0.287,0.005,2.183,0.000413182,29.12520593,149.3317701,0.14933177,0.014933177,14064.59769,14.06459769,1.406459769,53.89,0.0539,0.01,,,,
6/13/2016,,T2,P,21.5,30,25.75,4.1275,0,19.5,19.5,1044,1.044,54,0.005,60,2.242,,0.322,,,,,,,,,,,,,,,,,
6/13/2016,,T3,P,21.5,30,25.75,4.1275,0,19.5,19.5,1044,1.044,54,0.005,120,2.510,433.386,0.329,,,,,,,,,,,,,,,,,
6/13/2016,,T4,P,21.5,30,25.75,4.1275,0,19.5,19.5,1044,1.044,54,0.005,180,2.646,493.717,,,,,,,,,,,,,,,,,,
6/13/2016,12N,T1,N,22.8,32,27.4,4.1275,0,18.0,18.0,963,0.963,54,0.005,30,1778.963,1131.621,0.709,-6.756,-0.782,-3.43661E-05,24.28057661,158256.5253,158.2565253,15.82565253,100668.9873,100.6689873,10.06689873,147.17,0.1472,0.01,,,,
6/13/2016,,T2,N,22.8,32,27.4,4.1275,0,18.0,18.0,963,0.963,54,0.005,60,1915.008,1229.952,0.979,,,,,,,,,,,,,,,,,
6/13/2016,,T3,N,22.8,32,27.4,4.1275,0,18.0,18.0,963,0.963,54,0.005,120,1408.673,1202.231,1.007,,,,,,,,,,,,,,,,,
6/13/2016,,T4,N,22.8,32,27.4,4.1275,0,18.0,18.0,963,0.963,54,0.005,180,854.681,1031.201,0.745,,,,,,,,,,,,,,,,,
6/13/2016,12P,T1,P,22.6,31.2,26.9,4.1275,0,18.0,18.0,963,0.963,54,0.005,30,48.940,751.967,0.150,0.596,-2.236,0.00412942,29.2339374,3616.011362,3.616011362,0.361601136,55560.41838,55.56041838,5.556041838,25.90,0.0259,0.00,,,,
6/13/2016,,T2,P,22.6,31.2,26.9,4.1275,0,18.0,18.0,963,0.963,54,0.005,60,93.687,762.931,1.009,,,,,,,,,,,,,,,,,
6/13/2016,,T3,P,22.6,31.2,26.9,4.1275,0,18.0,18.0,963,0.963,54,0.005,120,122.166,674.896,0.995,,,,,,,,,,,,,,,,,
6/13/2016,,T4,P,22.6,31.2,26.9,4.1275,0,18.0,18.0,963,0.963,54,0.005,180,145.199,418.196,0.975,,,,,,,,,,,,,,,,,
6/13/2016,13N,T1,N,23,32,27.5,4.1275,0,18.5,18.5,990,0.990,54,0.005,30,104.868,775.854,0.519,-0.446,-0.850,-0.001308967,24.29698517,9581.762703,9.581762703,0.95817627,70889.29055,70.88929055,7.088929055,110.66,0.1107,0.01,,,,
6/13/2016,,T2,N,23,32,27.5,4.1275,0,18.5,18.5,990,0.990,54,0.005,60,88.268,753.774,0.410,,,,,,,,,,,,,,,,,
6/13/2016,,T3,N,23,32,27.5,4.1275,0,18.5,18.5,990,0.990,54,0.005,120,64.050,,0.384,,,,,,,,,,,,,,,,,
6/13/2016,,T4,N,23,32,27.5,4.1275,0,18.5,18.5,990,0.990,54,0.005,180,,649.485,0.296,,,,,,,,,,,,,,,,,
6/13/2016,13P,T1,P,22,31.5,26.75,4.1275,0,18.0,18.0,963,0.963,54,0.005,30,76.939,295.278,0.618,0.792,0.535,0.001603953,29.17462932,5696.297002,5.696297002,0.5696297,21861.50892,21.86150892,2.186150892,106.78,0.1068,0.01,,,,
6/13/2016,,T2,P,22,31.5,26.75,4.1275,0,18.0,18.0,963,0.963,54,0.005,60,127.214,204.413,0.771,,,,,,,,,,,,,,,,,
6/13/2016,,T3,P,22,31.5,26.75,4.1275,0,18.0,18.0,963,0.963,54,0.005,120,192.532,301.305,0.820,,,,,,,,,,,,,,,,,
6/13/2016,,T4,P,22,31.5,26.75,4.1275,0,18.0,18.0,963,0.963,54,0.005,180,195.625,338.419,0.891,,,,,,,,,,,,,,,,,
6/13/2016,14N,T1,N,23,30.5,26.75,4.1275,0,19.0,19.0,1017,1.017,54,0.005,30,2.711,229.088,0.504,-0.002,1.158,-0.00122766,24.29698517,254.433234,0.254433234,0.025443323,21497.37294,21.49737294,2.149737294,110.39,0.1104,0.01,,,,
6/13/2016,,T2,N,23,30.5,26.75,4.1275,0,19.0,19.0,1017,1.017,54,0.005,60,2.172,,,,,,,,,,,,,,,,,,,
6/13/2016,,T3,N,23,30.5,26.75,4.1275,0,19.0,19.0,1017,1.017,54,0.005,120,2.185,326.886,0.331,,,,,,,,,,,,,,,,,
6/13/2016,,T4,N,23,30.5,26.75,4.1275,0,19.0,19.0,1017,1.017,54,0.005,180,2.226,403.682,0.329,,,,,,,,,,,,,,,,,
6/13/2016,14P,T1,P,23,29.5,26.25,4.1275,0,19.0,19.0,1017,1.017,54,0.005,30,3.882,248.643,0.313,0.026,0.772,2.58334E-05,29.27347611,302.3276866,0.302327687,0.030232769,19365.82225,19.36582225,1.936582225,56.87,0.0569,0.01,,,,
6/13/2016,,T2,P,23,29.5,26.25,4.1275,0,19.0,19.0,1017,1.017,54,0.005,60,5.635,,0.305,,,,,,,,,,,,,,,,,
6/13/2016,,T3,P,23,29.5,26.25,4.1275,0,19.0,19.0,1017,1.017,54,0.005,120,6.869,321.409,0.318,,,,,,,,,,,,,,,,,
6/13/2016,,T4,P,23,29.5,26.25,4.1275,0,19.0,19.0,1017,1.017,54,0.005,180,8.084,364.037,0.312,,,,,,,,,,,,,,,,,
6/13/2016,15N,T1,N,24.5,29.8,27.15,4.1275,0,19.5,19.5,1044,1.044,54,0.005,30,2.440,471.744,0.455,-0.008,1.593,0.000837967,24.42004942,233.8018423,0.233801842,0.023380184,45203.84651,45.20384651,4.520384651,101.79,0.1018,0.01,,,,
6/13/2016,,T2,N,24.5,29.8,27.15,4.1275,0,19.5,19.5,1044,1.044,54,0.005,60,2.065,534.844,0.495,,,,,,,,,,,,,,,,,
6/13/2016,,T3,N,24.5,29.8,27.15,4.1275,0,19.5,19.5,1044,1.044,54,0.005,120,1.725,625.683,,,,,,,,,,,,,,,,,,
6/13/2016,,T4,N,24.5,29.8,27.15,4.1275,0,19.5,19.5,1044,1.044,54,0.005,180,,714.717,0.586,,,,,,,,,,,,,,,,,
6/13/2016,15P,T1,P,23.8,31,27.4,4.1275,0,20.0,20.0,1070,1.070,54,0.005,30,1.487,160.558,0.251,0.005,1.298,0.000405468,29.35255354,121.6142816,0.121614282,0.012161428,13127.95768,13.12795768,1.312795768,47.94,0.0479,0.00,,,,
6/13/2016,,T2,P,23.8,31,27.4,4.1275,0,20.0,20.0,1070,1.070,54,0.005,60,,173.158,,,,,,,,,,,,,,,,,,
6/13/2016,,T3,P,23.8,31,27.4,4.1275,0,20.0,20.0,1070,1.070,54,0.005,120,1.868,,0.279,,,,,,,,,,,,,,,,,
6/13/2016,,T4,P,23.8,31,27.4,4.1275,0,20.0,20.0,1070,1.070,54,0.005,180,2.232,346.495,0.313,,,,,,,,,,,,,,,,,
6/13/2016,16N,T1,N,24,31.5,27.75,4.1275,0,19.5,19.5,1044,1.044,54,0.005,30,1.925,586.211,0.436,0.002,3.142,0.001670284,24.37902801,184.7575061,0.184757506,0.018475751,56266.91073,56.26691073,5.626691073,97.69,0.0977,0.01,,,,
6/13/2016,,T2,N,24,31.5,27.75,4.1275,0,19.5,19.5,1044,1.044,54,0.005,60,1.902,825.892,0.595,,,,,,,,,,,,,,,,,
6/13/2016,,T3,N,24,31.5,27.75,4.1275,0,19.5,19.5,1044,1.044,54,0.005,120,2.053,973.880,0.652,,,,,,,,,,,,,,,,,
6/13/2016,,T4,N,24,31.5,27.75,4.1275,0,19.5,19.5,1044,1.044,54,0.005,180,,1095.011,0.718,,,,,,,,,,,,,,,,,
6/13/2016,16P,T1,P,25,33,29,4.1275,0,19.5,19.5,1044,1.044,54,0.005,30,2.087,470.561,0.411,-0.002,0.175,-0.000443016,29.47116969,165.7125171,0.165712517,0.016571252,37362.36913,37.36236913,3.736236913,76.11,0.0761,0.01,,,,
6/13/2016,,T2,P,25,33,29,4.1275,0,19.5,19.5,1044,1.044,54,0.005,60,2.046,263.620,0.334,,,,,,,,,,,,,,,,,
6/13/2016,,T3,P,25,33,29,4.1275,0,19.5,19.5,1044,1.044,54,0.005,120,1.911,372.679,0.331,,,,,,,,,,,,,,,,,
6/13/2016,,T4,P,25,33,29,4.1275,0,19.5,19.5,1044,1.044,54,0.005,180,1.759,431.298,0.326,,,,,,,,,,,,,,,,,
6/13/2016,17N,T1,N,23.3,31.5,27.4,4.1275,0,18.5,18.5,990,0.990,54,0.005,30,1.765,428.819,0.306,0.002,0.891,0.000280611,24.32159802,161.1417936,0.161141794,0.016114179,39141.25173,39.14125173,3.914125173,65.08,0.0651,0.01,,,,
6/13/2016,,T2,N,23.3,31.5,27.4,4.1275,0,18.5,18.5,990,0.990,54,0.005,60,2.094,423.988,0.321,,,,,,,,,,,,,,,,,
6/13/2016,,T3,N,23.3,31.5,27.4,4.1275,0,18.5,18.5,990,0.990,54,0.005,120,2.140,510.599,0.339,,,,,,,,,,,,,,,,,
6/13/2016,,T4,N,23.3,31.5,27.4,4.1275,0,18.5,18.5,990,0.990,54,0.005,180,2.176,547.712,0.349,,,,,,,,,,,,,,,,,
6/13/2016,17P,T1,P,25.3,33,29.15,4.1275,0,19.0,19.0,1017,1.017,54,0.005,30,1.921,198.282,0.255,0.012,1.245,0.000605827,29.50082372,148.4798526,0.148479853,0.014847985,15324.44011,15.32444011,1.532444011,45.94,0.0459,0.00,,,,
6/13/2016,,T2,P,25.3,33,29.15,4.1275,0,19.0,19.0,1017,1.017,54,0.005,60,2.699,,0.290,,,,,,,,,,,,,,,,,
6/13/2016,,T3,P,25.3,33,29.15,4.1275,0,19.0,19.0,1017,1.017,54,0.005,120,3.118,359.699,0.313,,,,,,,,,,,,,,,,,
6/13/2016,,T4,P,25.3,33,29.15,4.1275,0,19.0,19.0,1017,1.017,54,0.005,180,,377.983,,,,,,,,,,,,,,,,,,
6/13/2016,18N,T1,N,24.8,33.5,29.15,4.1275,0,18.5,18.5,990,0.990,54,0.005,30,4.337,405.682,0.271,0.006,0.787,0.000670909,24.44466227,393.8771427,0.393877143,0.039387714,36842.98071,36.84298071,3.684298071,57.34,0.0573,0.01,,,,
6/13/2016,,T2,N,24.8,33.5,29.15,4.1275,0,18.5,18.5,990,0.990,54,0.005,60,,432.425,0.315,,,,,,,,,,,,,,,,,
6/13/2016,,T3,N,24.8,33.5,29.15,4.1275,0,18.5,18.5,990,0.990,54,0.005,120,5.087,505.500,0.336,,,,,,,,,,,,,,,,,
6/13/2016,,T4,N,24.8,33.5,29.15,4.1275,0,18.5,18.5,990,0.990,54,0.005,180,5.277,517.225,,,,,,,,,,,,,,,,,,
